Incident Date,State,# Killed,# Injured
1-Jan-14,Mississippi,1,0
2-Jan-14,Pennsylvania,1,0
20-Jan-14,Alabama,1,0
25-Jan-14,Texas,1,0
28-Jan-14,Tennessee,1,0
6-Feb-14,Washington,1,0
7-Feb-14,Massachusetts,1,0
9-Feb-14,South Carolina,1,0
11-Feb-14,Wisconsin,1,0
15-Feb-14,Georgia,1,0
22-Feb-14,Tennessee,1,0
25-Feb-14,Tennessee,1,0
28-Feb-14,Louisiana,1,0
1-Mar-14,Illinois,1,0
1-Mar-14,Texas,1,0
11-Mar-14,Indiana,1,0
13-Mar-14,Texas,1,0
19-Mar-14,Louisiana,1,0
22-Mar-14,Pennsylvania,1,0
3-Apr-14,Oklahoma,1,0
4-Apr-14,Georgia,1,0
4-Apr-14,Georgia,1,0
28-Apr-14,North Carolina,1,0
22-May-14,Georgia,1,0
3-Jun-14,Ohio,1,0
5-Jun-14,Louisiana,1,0
5-Jun-14,Utah,1,0
10-Jun-14,Louisiana,1,0
11-Jun-14,Florida,1,0
16-Jun-14,California,1,0
22-Jun-14,Texas,1,0
24-Jun-14,Washington,1,0
29-Jun-14,Ohio,1,0
30-Jun-14,Texas,1,0
2-Jul-14,Arizona,1,0
3-Jul-14,Texas,1,0
5-Jul-14,Texas,1,0
2-Aug-14,Florida,1,0
3-Aug-14,Florida,1,0
3-Aug-14,Michigan,1,0
5-Aug-14,Connecticut,1,0
5-Aug-14,Georgia,1,0
14-Aug-14,Texas,1,0
14-Aug-14,Oklahoma,1,0
16-Aug-14,Oklahoma,1,0
18-Aug-14,Kentucky,1,0
11-Sep-14,Louisiana,1,0
20-Sep-14,Tennessee,1,0
21-Sep-14,Michigan,1,0
25-Sep-14,Wisconsin,1,0
26-Sep-14,Texas,1,0
1-Oct-14,South Carolina,1,0
17-Oct-14,North Carolina,1,0
17-Oct-14,New York,1,0
19-Oct-14,Texas,1,0
26-Oct-14,Indiana,1,0
29-Oct-14,Florida,1,0
1-Nov-14,Georgia,1,0
7-Nov-14,Michigan,1,0
8-Nov-14,North Dakota,1,0
13-Nov-14,Minnesota,1,0
16-Nov-14,Colorado,1,0
19-Nov-14,New Mexico,1,0
23-Nov-14,Utah,1,0
24-Nov-14,Texas,1,0
28-Nov-14,Texas,1,0
29-Nov-14,South Carolina,1,0
1-Dec-14,Colorado,1,0
4-Dec-14,Georgia,1,0
4-Dec-14,Indiana,1,0
4-Dec-14,Texas,1,0
6-Dec-14,Michigan,1,0
7-Dec-14,South Carolina,1,0
11-Dec-14,Illinois,1,0
14-Dec-14,Wisconsin,1,0
21-Dec-14,Nevada,1,0
25-Dec-14,Kentucky,1,0
26-Dec-14,West Virginia,1,1
27-Dec-14,Iowa,1,0
28-Dec-14,Mississippi,1,0
29-Dec-14,Michigan,1,0
29-Dec-14,Michigan,1,0
30-Dec-14,Florida,1,0
1-Jan-15,Idaho,1,0
15-Jan-15,Alabama,1,0
17-Jan-15,North Carolina,1,0
17-Jan-15,Louisiana,1,0
18-Jan-15,Georgia,1,0
25-Jan-15,Minnesota,1,0
26-Jan-15,Florida,1,0
27-Jan-15,Michigan,1,0
3-Feb-15,Tennessee,1,0
7-Feb-15,Texas,1,0
21-Feb-15,South Dakota,1,0
21-Feb-15,Louisiana,1,0
24-Feb-15,Iowa,1,0
26-Feb-15,Texas,1,0
5-Mar-15,Pennsylvania,1,0
6-Mar-15,Tennessee,1,0
7-Mar-15,Wisconsin,1,0
13-Mar-15,Idaho,1,0
17-Mar-15,Washington,1,0
17-Mar-15,Oklahoma,1,0
29-Mar-15,North Carolina,1,0
10-Apr-15,Florida,1,0
10-Apr-15,Texas,1,0
14-Apr-15,Ohio,1,0
19-Apr-15,California,1,0
29-Apr-15,Georgia,1,0
1-May-15,California,1,0
3-May-15,Minnesota,1,0
10-May-15,Ohio,1,0
11-May-15,Washington,1,0
16-May-15,California,1,0
22-May-15,Michigan,1,0
23-May-15,Arkansas,1,0
3-Jun-15,Ohio,1,0
12-Jun-15,Illinois,1,0
22-Jun-15,Arkansas,1,0
26-Jun-15,Massachusetts,1,0
12-Jul-15,Connecticut,1,0
15-Jul-15,Ohio,1,0
16-Jul-15,Texas,1,0
20-Jul-15,Wisconsin,1,0
20-Jul-15,Texas,1,0
26-Jul-15,North Carolina,1,0
27-Jul-15,Colorado,1,0
30-Jul-15,Kentucky,1,0
30-Jul-15,Florida,1,0
5-Aug-15,Tennessee,1,0
6-Aug-15,Pennsylvania,1,0
6-Aug-15,Pennsylvania,1,0
9-Aug-15,Florida,1,0
10-Aug-15,Kentucky,1,0
12-Aug-15,Illinois,1,0
13-Aug-15,Florida,1,0
20-Aug-15,Georgia,1,0
20-Aug-15,Texas,1,0
20-Aug-15,South Carolina,1,0
24-Aug-15,Arizona,1,0
24-Aug-15,Georgia,1,0
11-Sep-15,Kansas,1,0
12-Sep-15,Georgia,1,0
13-Sep-15,Colorado,1,0
23-Sep-15,Texas,1,0
26-Sep-15,Indiana,1,0
2-Oct-15,Ohio,1,0
2-Oct-15,Florida,1,0
3-Oct-15,Michigan,1,0
4-Oct-15,California,1,0
5-Oct-15,Georgia,1,0
10-Oct-15,Maryland,1,0
13-Oct-15,Louisiana,1,0
15-Oct-15,South Carolina,1,0
15-Oct-15,Nevada,1,0
17-Oct-15,Ohio,1,0
17-Oct-15,Idaho,1,0
18-Oct-15,Illinois,1,0
23-Oct-15,Louisiana,1,0
7-Nov-15,California,1,0
12-Nov-15,New York,1,0
14-Nov-15,Arkansas,1,0
15-Nov-15,Pennsylvania,1,0
19-Nov-15,Virginia,1,0
19-Nov-15,Louisiana,1,0
24-Nov-15,Ohio,0,2
27-Nov-15,Florida,1,0
28-Nov-15,Arkansas,1,0
29-Nov-15,Minnesota,1,0
3-Dec-15,Texas,1,0
4-Dec-15,Louisiana,1,0
5-Dec-15,Colorado,1,0
10-Dec-15,Texas,1,0
12-Dec-15,Florida,1,0
13-Dec-15,Mississippi,1,0
13-Dec-15,Missouri,1,0
18-Dec-15,Louisiana,1,0
19-Dec-15,Louisiana,1,0
19-Dec-15,Mississippi,1,0
21-Dec-15,Pennsylvania,3,0
21-Dec-15,Missouri,1,0
22-Dec-15,Wisconsin,1,0
24-Dec-15,Tennessee,1,0
30-Dec-15,Georgia,1,0
31-Dec-15,Mississippi,1,0
4-Jan-16,Tennessee,2,1
9-Jan-16,Alabama,1,0
9-Jan-16,Alabama,1,0
11-Jan-16,Pennsylvania,1,1
12-Jan-16,Ohio,1,0
14-Jan-16,Pennsylvania,1,0
16-Jan-16,Louisiana,1,0
16-Jan-16,Texas,1,0
17-Jan-16,Missouri,1,0
20-Jan-16,Indiana,1,0
22-Jan-16,Florida,1,0
25-Jan-16,Texas,2,0
25-Jan-16,Kentucky,1,0
30-Jan-16,Georgia,1,0
8-Feb-16,Florida,1,0
11-Feb-16,Georgia,1,0
11-Feb-16,New York,1,0
13-Feb-16,Nevada,1,0
18-Feb-16,Louisiana,1,0
19-Feb-16,Louisiana,1,0
20-Feb-16,Ohio,1,0
21-Feb-16,Florida,1,0
21-Feb-16,Mississippi,1,0
27-Feb-16,Florida,1,0
5-Mar-16,South Dakota,1,0
6-Mar-16,Mississippi,1,0
7-Mar-16,West Virginia,1,0
12-Mar-16,Iowa,1,0
14-Mar-16,Texas,1,0
14-Mar-16,West Virginia,1,0
14-Mar-16,Missouri,1,0
17-Mar-16,South Carolina,1,0
18-Mar-16,Iowa,1,0
19-Mar-16,Florida,1,0
20-Mar-16,Pennsylvania,1,0
25-Mar-16,Hawaii,1,0
27-Mar-16,Mississippi,1,0
28-Mar-16,Georgia,1,0
31-Mar-16,North Carolina,1,0
2-Apr-16,South Carolina,1,0
10-Apr-16,North Carolina,1,0
14-Apr-16,California,1,0
19-Apr-16,California,1,0
10-May-16,Louisiana,1,0
14-May-16,Florida,1,0
19-May-16,New York,1,0
25-May-16,Washington,1,0
3-Jun-16,Missouri,1,0
3-Jun-16,Colorado,1,0
3-Jun-16,Illinois,1,0
6-Jun-16,Georgia,1,0
6-Jun-16,Maryland,1,0
7-Jun-16,Michigan,1,0
11-Jun-16,Louisiana,1,0
13-Jun-16,West Virginia,1,0
17-Jun-16,Pennsylvania,1,0
22-Jun-16,Indiana,1,0
22-Jun-16,Georgia,1,0
27-Jun-16,Arizona,1,0
28-Jun-16,Texas,1,0
29-Jun-16,Pennsylvania,1,0
3-Jul-16,Florida,1,0
3-Jul-16,Tennessee,1,0
6-Jul-16,Alabama,1,0
8-Jul-16,Texas,1,0
15-Jul-16,Florida,1,0
15-Jul-16,Texas,1,0
19-Jul-16,Texas,1,0
22-Jul-16,Indiana,1,0
25-Jul-16,Arizona,1,0
26-Jul-16,Texas,1,0
30-Jul-16,New York,1,0
31-Jul-16,Alabama,1,0
1-Aug-16,Oklahoma,1,0
2-Aug-16,South Carolina,1,1
2-Aug-16,Ohio,1,0
5-Aug-16,Illinois,1,0
6-Aug-16,North Carolina,1,0
12-Aug-16,Pennsylvania,1,0
15-Aug-16,Florida,1,0
27-Aug-16,Texas,1,0
28-Aug-16,Kentucky,1,0
5-Sep-16,Texas,1,0
5-Sep-16,Michigan,2,0
8-Sep-16,California,1,0
14-Sep-16,Texas,1,0
17-Sep-16,Alaska,1,0
22-Sep-16,Maryland,1,0
27-Sep-16,Iowa,1,0
29-Sep-16,Texas,1,0
3-Oct-16,North Dakota,1,0
7-Oct-16,Georgia,1,0
9-Oct-16,South Carolina,1,0
11-Oct-16,Georgia,1,0
16-Oct-16,Washington,1,0
16-Oct-16,North Dakota,1,0
22-Oct-16,Louisiana,1,0
30-Oct-16,Pennsylvania,1,0
6-Nov-16,Georgia,1,0
7-Nov-16,Pennsylvania,1,0
8-Nov-16,Virginia,1,0
11-Nov-16,Oklahoma,1,0
12-Nov-16,Colorado,1,0
22-Nov-16,Indiana,1,0
22-Nov-16,Virginia,1,0
